0:0:0:0:0:0:0:1 - - [26/Jun/2018:18:38:59 -0300] "GET /projectMaster/javax.faces.resource/html.png.jsf?ln=img HTTP/1.1" 200 1970
0:0:0:0:0:0:0:1 - - [26/Jun/2018:18:38:59 -0300] "GET /projectMaster/javax.faces.resource/excel.png.jsf?ln=img HTTP/1.1" 200 1176
0:0:0:0:0:0:0:1 - - [26/Jun/2018:18:38:59 -0300] "GET /projectMaster/javax.faces.resource/images/ui-bg_glass_75_e6e6e6_1x400.png.jsf?ln=primefaces-smoothness HTTP/1.1" 200 110
0:0:0:0:0:0:0:1 - - [26/Jun/2018:18:38:59 -0300] "GET /projectMaster/javax.faces.resource/images/ui-icons_888888_256x240.png.jsf?ln=primefaces-smoothness HTTP/1.1" 200 4369
0:0:0:0:0:0:0:1 - - [26/Jun/2018:18:38:59 -0300] "GET /projectMaster/cadastro/verificaMsgNaoLidas?isProcessoFacesJsf=false HTTP/1.1" 200 26
0:0:0:0:0:0:0:1 - - [26/Jun/2018:18:38:59 -0300] "GET /projectMaster/javax.faces.resource/images/ui-bg_glass_55_fbf9ee_1x400.png.jsf?ln=primefaces-smoothness HTTP/1.1" 200 120
0:0:0:0:0:0:0:1 - - [26/Jun/2018:18:39:01 -0300] "GET /projectMaster/javax.faces.resource/images/ui-bg_glass_75_dadada_1x400.png.jsf?ln=primefaces-smoothness HTTP/1.1" 200 111
0:0:0:0:0:0:0:1 - - [26/Jun/2018:18:39:01 -0300] "GET /projectMaster/javax.faces.resource/images/ui-bg_glass_65_ffffff_1x400.png.jsf?ln=primefaces-smoothness HTTP/1.1" 200 105
0:0:0:0:0:0:0:1 - - [26/Jun/2018:18:39:01 -0300] "POST /projectMaster/cadastro/find_cliente.jsf HTTP/1.1" 200 11600
0:0:0:0:0:0:0:1 - - [26/Jun/2018:18:39:01 -0300] "GET /projectMaster/javax.faces.resource/editar16.png.jsf?ln=img HTTP/1.1" 200 406
0:0:0:0:0:0:0:1 - - [26/Jun/2018:18:39:01 -0300] "GET /projectMaster/javax.faces.resource/excluir16.png.jsf?ln=img HTTP/1.1" 200 778
0:0:0:0:0:0:0:1 - - [26/Jun/2018:18:39:05 -0300] "POST /projectMaster/cadastro/find_cliente.jsf HTTP/1.1" 200 115
0:0:0:0:0:0:0:1 - - [26/Jun/2018:18:39:05 -0300] "GET /projectMaster/cadastro/cad_cliente.jsf HTTP/1.1" 200 35705
0:0:0:0:0:0:0:1 - - [26/Jun/2018:18:39:06 -0300] "GET /projectMaster/javax.faces.resource/img/zoom.gif.jsf HTTP/1.1" 200 580
0:0:0:0:0:0:0:1 - - [26/Jun/2018:18:39:06 -0300] "GET /projectMaster/cadastro/verificaMsgNaoLidas?isProcessoFacesJsf=false HTTP/1.1" 200 26
0:0:0:0:0:0:0:1 - - [26/Jun/2018:18:39:11 -0300] "POST /projectMaster/cadastro/cad_cliente.jsf HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [26/Jun/2018:18:39:11 -0300] "GET /projectMaster/cadastro/find_cliente.jsf HTTP/1.1" 200 26156
0:0:0:0:0:0:0:1 - - [26/Jun/2018:18:39:11 -0300] "GET /projectMaster/cadastro/verificaMsgNaoLidas?isProcessoFacesJsf=false HTTP/1.1" 200 26
0:0:0:0:0:0:0:1 - - [26/Jun/2018:18:39:17 -0300] "POST /projectMaster/cadastro/find_mensagem HTTP/1.1" 404 1877
0:0:0:0:0:0:0:1 - - [26/Jun/2018:18:39:17 -0300] "POST /projectMaster/cadastro/find_cliente.jsf HTTP/1.1" 200 424
0:0:0:0:0:0:0:1 - - [26/Jun/2018:18:39:18 -0300] "GET /projectMaster/cadastro/find_mensagem.jsf HTTP/1.1" 200 24952
0:0:0:0:0:0:0:1 - - [26/Jun/2018:18:39:18 -0300] "GET /projectMaster/cadastro/verificaMsgNaoLidas?isProcessoFacesJsf=false HTTP/1.1" 200 26
0:0:0:0:0:0:0:1 - - [26/Jun/2018:18:39:49 -0300] "POST /projectMaster/cadastro/find_funcionario HTTP/1.1" 404 1877
0:0:0:0:0:0:0:1 - - [26/Jun/2018:18:39:49 -0300] "POST /projectMaster/cadastro/find_mensagem.jsf HTTP/1.1" 200 425
0:0:0:0:0:0:0:1 - - [26/Jun/2018:18:39:49 -0300] "GET /projectMaster/cadastro/find_funcionario.jsf HTTP/1.1" 200 26138
0:0:0:0:0:0:0:1 - - [26/Jun/2018:18:39:50 -0300] "GET /projectMaster/cadastro/verificaMsgNaoLidas?isProcessoFacesJsf=false HTTP/1.1" 200 26
0:0:0:0:0:0:0:1 - - [26/Jun/2018:18:39:51 -0300] "POST /projectMaster/cadastro/find_funcionario.jsf HTTP/1.1" 200 15635
0:0:0:0:0:0:0:1 - - [26/Jun/2018:18:39:51 -0300] "GET /projectMaster/javax.faces.resource/cadeado_16x16.png.jsf?ln=img HTTP/1.1" 200 658
0:0:0:0:0:0:0:1 - - [26/Jun/2018:18:39:53 -0300] "POST /projectMaster/cadastro/find_funcionario.jsf HTTP/1.1" 200 117
0:0:0:0:0:0:0:1 - - [26/Jun/2018:18:39:53 -0300] "GET /projectMaster/cadastro/cad_permissao.jsf HTTP/1.1" 200 31561
0:0:0:0:0:0:0:1 - - [26/Jun/2018:18:39:53 -0300] "GET /projectMaster/cadastro/verificaMsgNaoLidas?isProcessoFacesJsf=false HTTP/1.1" 200 26
0:0:0:0:0:0:0:1 - - [26/Jun/2018:18:40:09 -0300] "POST /projectMaster/cadastro/cad_permissao.jsf HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [26/Jun/2018:18:40:09 -0300] "GET /projectMaster/cadastro/find_funcionario.jsf HTTP/1.1" 200 26176
0:0:0:0:0:0:0:1 - - [26/Jun/2018:18:40:09 -0300] "GET /projectMaster/cadastro/verificaMsgNaoLidas?isProcessoFacesJsf=false HTTP/1.1" 200 26
0:0:0:0:0:0:0:1 - - [26/Jun/2018:18:40:11 -0300] "POST /projectMaster/cadastro/find_funcionario.jsf HTTP/1.1" 200 15634
0:0:0:0:0:0:0:1 - - [26/Jun/2018:18:40:17 -0300] "POST /projectMaster/cadastro/find_mensagem HTTP/1.1" 404 1878
0:0:0:0:0:0:0:1 - - [26/Jun/2018:18:40:17 -0300] "POST /projectMaster/cadastro/find_funcionario.jsf HTTP/1.1" 200 424
0:0:0:0:0:0:0:1 - - [26/Jun/2018:18:40:17 -0300] "GET /projectMaster/cadastro/find_mensagem.jsf HTTP/1.1" 200 24992
0:0:0:0:0:0:0:1 - - [26/Jun/2018:18:40:17 -0300] "GET /projectMaster/cadastro/verificaMsgNaoLidas?isProcessoFacesJsf=false HTTP/1.1" 200 26
0:0:0:0:0:0:0:1 - - [26/Jun/2018:18:40:19 -0300] "POST /projectMaster/cadastro/find_mensagem.jsf HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [26/Jun/2018:18:40:19 -0300] "GET /projectMaster/cadastro/cad_mensagem.jsf HTTP/1.1" 200 23655
0:0:0:0:0:0:0:1 - - [26/Jun/2018:18:40:19 -0300] "GET /projectMaster/cadastro/verificaMsgNaoLidas?isProcessoFacesJsf=false HTTP/1.1" 200 26
0:0:0:0:0:0:0:1 - - [26/Jun/2018:18:40:21 -0300] "POST /projectMaster/cadastro/cad_mensagem.jsf HTTP/1.1" 200 1160
0:0:0:0:0:0:0:1 - - [26/Jun/2018:18:40:21 -0300] "POST /projectMaster/cadastro/cad_mensagem.jsf HTTP/1.1" 200 11003
0:0:0:0:0:0:0:1 - - [26/Jun/2018:18:40:22 -0300] "POST /projectMaster/cadastro/cad_mensagem.jsf HTTP/1.1" 200 19835
0:0:0:0:0:0:0:1 - - [26/Jun/2018:18:40:22 -0300] "GET /projectMaster/javax.faces.resource/add_16.png.jsf?ln=img HTTP/1.1" 200 3179
0:0:0:0:0:0:0:1 - - [26/Jun/2018:18:40:26 -0300] "GET /projectMaster/cadastro/addDestinoMsg?codEntidade=2 HTTP/1.1" 404 1878
0:0:0:0:0:0:0:1 - - [26/Jun/2018:18:40:26 -0300] "POST /projectMaster/cadastro/cad_mensagem.jsf HTTP/1.1" 200 425
0:0:0:0:0:0:0:1 - - [26/Jun/2018:18:40:32 -0300] "POST /projectMaster/cadastro/cad_mensagem.jsf HTTP/1.1" 200 27224
0:0:0:0:0:0:0:1 - - [26/Jun/2018:18:40:32 -0300] "GET /projectMaster/cadastro/verificaMsgNaoLidas?isProcessoFacesJsf=false HTTP/1.1" 200 26
0:0:0:0:0:0:0:1 - - [26/Jun/2018:18:40:32 -0300] "GET /projectMaster/javax.faces.resource/messages/messages.png.jsf?ln=primefaces&v=4.0 HTTP/1.1" 200 27245
0:0:0:0:0:0:0:1 - - [26/Jun/2018:18:40:33 -0300] "GET /projectMaster/javax.faces.resource/images/ui-icons_2e83ff_256x240.png.jsf?ln=primefaces-smoothness HTTP/1.1" 200 4369
0:0:0:0:0:0:0:1 - - [26/Jun/2018:18:40:36 -0300] "GET /projectMaster/j_spring_security_logout HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [26/Jun/2018:18:40:36 -0300] "GET /projectMaster/publico/login.jsf HTTP/1.1" 200 2276
0:0:0:0:0:0:0:1 - - [26/Jun/2018:18:40:36 -0300] "POST /projectMaster/cadastro/invalidar_session HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [26/Jun/2018:18:40:36 -0300] "GET /projectMaster/publico/login.jsf HTTP/1.1" 200 2276
0:0:0:0:0:0:0:1 - - [26/Jun/2018:18:40:36 -0300] "GET /projectMaster/publico/atualizarBanco HTTP/1.1" 200 15
0:0:0:0:0:0:0:1 - - [26/Jun/2018:18:40:42 -0300] "POST /projectMaster/j_spring_security_check HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [26/Jun/2018:18:40:42 -0300] "GET /projectMaster/restrito/principal.jsf HTTP/1.1" 200 14939
0:0:0:0:0:0:0:1 - - [26/Jun/2018:18:40:42 -0300] "GET /projectMaster/restrito/verificaMsgNaoLidas?isProcessoFacesJsf=false HTTP/1.1" 200 26
0:0:0:0:0:0:0:1 - - [26/Jun/2018:18:40:43 -0300] "POST /projectMaster/restrito/principal.jsf HTTP/1.1" 200 117
0:0:0:0:0:0:0:1 - - [26/Jun/2018:18:40:44 -0300] "GET /projectMaster/cadastro/msg_recebidas.jsf HTTP/1.1" 200 26928
0:0:0:0:0:0:0:1 - - [26/Jun/2018:18:40:44 -0300] "GET /projectMaster/javax.faces.resource/zoom.gif.jsf?ln=img HTTP/1.1" 200 580
0:0:0:0:0:0:0:1 - - [26/Jun/2018:18:40:44 -0300] "GET /projectMaster/cadastro/verificaMsgNaoLidas?isProcessoFacesJsf=false HTTP/1.1" 200 26
0:0:0:0:0:0:0:1 - - [26/Jun/2018:18:40:47 -0300] "POST /projectMaster/cadastro/msg_recebidas.jsf HTTP/1.1" 200 2712
0:0:0:0:0:0:0:1 - - [26/Jun/2018:18:40:50 -0300] "GET /projectMaster/cadastro/marcarDesmarcarLido?men_codigo=32 HTTP/1.1" 404 1878
0:0:0:0:0:0:0:1 - - [26/Jun/2018:18:40:50 -0300] "GET /projectMaster/cadastro/msg_recebidas.jsf HTTP/1.1" 200 26956
0:0:0:0:0:0:0:1 - - [26/Jun/2018:18:40:50 -0300] "GET /projectMaster/cadastro/verificaMsgNaoLidas?isProcessoFacesJsf=false HTTP/1.1" 200 26
0:0:0:0:0:0:0:1 - - [26/Jun/2018:18:40:53 -0300] "POST /projectMaster/cadastro/msg_recebidas.jsf HTTP/1.1" 200 6815
0:0:0:0:0:0:0:1 - - [26/Jun/2018:18:40:59 -0300] "POST /projectMaster/cadastro/msg_recebidas.jsf HTTP/1.1" 200 117
0:0:0:0:0:0:0:1 - - [26/Jun/2018:18:40:59 -0300] "GET /projectMaster/cadastro/msg_recebidas.jsf HTTP/1.1" 200 26819
0:0:0:0:0:0:0:1 - - [26/Jun/2018:18:40:59 -0300] "GET /projectMaster/cadastro/verificaMsgNaoLidas?isProcessoFacesJsf=false HTTP/1.1" 200 26
0:0:0:0:0:0:0:1 - - [26/Jun/2018:18:41:01 -0300] "POST /projectMaster/cadastro/msg_recebidas.jsf HTTP/1.1" 200 6796
0:0:0:0:0:0:0:1 - - [26/Jun/2018:18:41:05 -0300] "POST /projectMaster/cadastro/msg_recebidas.jsf HTTP/1.1" 200 6782
0:0:0:0:0:0:0:1 - - [26/Jun/2018:18:41:09 -0300] "POST /projectMaster/cadastro/msg_recebidas.jsf HTTP/1.1" 200 117
0:0:0:0:0:0:0:1 - - [26/Jun/2018:18:41:09 -0300] "GET /projectMaster/cadastro/msg_recebidas.jsf HTTP/1.1" 200 26819
0:0:0:0:0:0:0:1 - - [26/Jun/2018:18:41:09 -0300] "GET /projectMaster/cadastro/verificaMsgNaoLidas?isProcessoFacesJsf=false HTTP/1.1" 200 26
0:0:0:0:0:0:0:1 - - [26/Jun/2018:18:41:12 -0300] "POST /projectMaster/cadastro/msg_recebidas.jsf HTTP/1.1" 200 6796
0:0:0:0:0:0:0:1 - - [26/Jun/2018:18:41:15 -0300] "POST /projectMaster/cadastro/msg_recebidas.jsf HTTP/1.1" 200 424
0:0:0:0:0:0:0:1 - - [26/Jun/2018:18:41:15 -0300] "POST /projectMaster/cadastro/msg_recebidas.jsf HTTP/1.1" 200 424
0:0:0:0:0:0:0:1 - - [26/Jun/2018:18:41:16 -0300] "POST /projectMaster/cadastro/msg_recebidas.jsf HTTP/1.1" 200 10342
0:0:0:0:0:0:0:1 - - [26/Jun/2018:18:41:23 -0300] "POST /projectMaster/cadastro/find_cliente HTTP/1.1" 404 1876
0:0:0:0:0:0:0:1 - - [26/Jun/2018:18:41:23 -0300] "POST /projectMaster/cadastro/msg_recebidas.jsf HTTP/1.1" 200 424
0:0:0:0:0:0:0:1 - - [26/Jun/2018:18:41:23 -0300] "GET /projectMaster/cadastro/find_cliente.jsf HTTP/1.1" 200 25859
0:0:0:0:0:0:0:1 - - [26/Jun/2018:18:41:23 -0300] "GET /projectMaster/cadastro/verificaMsgNaoLidas?isProcessoFacesJsf=false HTTP/1.1" 200 26
0:0:0:0:0:0:0:1 - - [26/Jun/2018:18:41:25 -0300] "POST /projectMaster/cadastro/find_cliente.jsf HTTP/1.1" 200 11603
0:0:0:0:0:0:0:1 - - [26/Jun/2018:18:41:28 -0300] "POST /projectMaster/cadastro/find_cliente.jsf HTTP/1.1" 200 518914
0:0:0:0:0:0:0:1 - - [26/Jun/2018:18:41:38 -0300] "GET /projectMaster/cadastro/find_ HTTP/1.1" 404 1877
0:0:0:0:0:0:0:1 - - [26/Jun/2018:18:41:38 -0300] "GET /projectMaster/javax.faces.resource/page_not_found.jpeg.jsf?ln=img HTTP/1.1" 200 2423
0:0:0:0:0:0:0:1 - - [26/Jun/2018:18:41:38 -0300] "GET /projectMaster/javax.faces.resource/images/ui-bg_highlight-soft_75_cccccc_1x100.png.jsf?ln=primefaces-smoothness HTTP/1.1" 200 101
