127.0.0.1 - - [29/Jun/2018:18:45:40 -0300] "GET / HTTP/1.1" 200 11458
0:0:0:0:0:0:0:1 - - [29/Jun/2018:18:51:45 -0300] "GET /projectMaster/ HTTP/1.1" 200 272
0:0:0:0:0:0:0:1 - - [29/Jun/2018:18:51:46 -0300] "GET /projectMaster/publico/login.jsf HTTP/1.1" 200 2276
0:0:0:0:0:0:0:1 - - [29/Jun/2018:18:51:46 -0300] "GET /projectMaster/javax.faces.resource/theme.css.jsf?ln=primefaces-smoothness HTTP/1.1" 200 18604
0:0:0:0:0:0:0:1 - - [29/Jun/2018:18:51:46 -0300] "GET /projectMaster/javax.faces.resource/logocaixaaqui.png.jsf?ln=img HTTP/1.1" 200 18041
0:0:0:0:0:0:0:1 - - [29/Jun/2018:18:51:46 -0300] "GET /projectMaster/javax.faces.resource/estilo.css.jsf?ln=css HTTP/1.1" 200 12457
0:0:0:0:0:0:0:1 - - [29/Jun/2018:18:51:46 -0300] "GET /projectMaster/javax.faces.resource/keys.png.jsf?ln=img HTTP/1.1" 200 59952
0:0:0:0:0:0:0:1 - - [29/Jun/2018:18:51:46 -0300] "GET /favicon.ico HTTP/1.1" 500 8192
0:0:0:0:0:0:0:1 - - [29/Jun/2018:18:51:47 -0300] "GET /projectMaster/publico/atualizarBanco HTTP/1.1" 200 15
0:0:0:0:0:0:0:1 - - [29/Jun/2018:18:51:52 -0300] "POST /projectMaster/j_spring_security_check HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [29/Jun/2018:18:51:52 -0300] "GET /projectMaster/publico/login.jsf?login_error=1 HTTP/1.1" 200 2378
0:0:0:0:0:0:0:1 - - [29/Jun/2018:18:51:52 -0300] "GET /projectMaster/publico/atualizarBanco HTTP/1.1" 200 15
0:0:0:0:0:0:0:1 - - [29/Jun/2018:18:51:57 -0300] "POST /projectMaster/j_spring_security_check HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [29/Jun/2018:18:51:58 -0300] "GET /projectMaster/restrito/principal.jsf HTTP/1.1" 200 14938
0:0:0:0:0:0:0:1 - - [29/Jun/2018:18:51:58 -0300] "GET /projectMaster/javax.faces.resource/jquery-ui.css.jsf?ln=primefaces/jquery/ui HTTP/1.1" 200 7943
0:0:0:0:0:0:0:1 - - [29/Jun/2018:18:51:58 -0300] "GET /projectMaster/javax.faces.resource/primefaces.css.jsf?ln=primefaces&v=4.0 HTTP/1.1" 200 53416
0:0:0:0:0:0:0:1 - - [29/Jun/2018:18:51:58 -0300] "GET /projectMaster/javax.faces.resource/ajax-loader.gif.jsf?ln=img HTTP/1.1" 200 10839
0:0:0:0:0:0:0:1 - - [29/Jun/2018:18:51:58 -0300] "GET /projectMaster/javax.faces.resource/setabaixo.png.jsf?ln=img HTTP/1.1" 200 162
0:0:0:0:0:0:0:1 - - [29/Jun/2018:18:51:58 -0300] "GET /projectMaster/javax.faces.resource/iconemenu.png.jsf?ln=img HTTP/1.1" 200 117
